Ventas_Tienda_1,Ventas_Tienda_2,Ventas_Tienda_3
42.58,62.43,61.38
49.57,60.42,62.83
58.45,57.85,59.19
38.59,50.22,58.13
38.22,59.76,59.24
34.6,53.81,61.39
63.83,70.0,56.77
39.86,63.87,61.0
43.16,64.77,60.32
51.97,61.62,59.73
50.19,44.95,55.91
51.88,59.1,61.49
42.66,53.74,58.05
46.15,63.23,62.73
49.06,65.17,61.44
52.01,61.81,60.14
51.6,56.71,61.42
49.05,64.58,61.99
41.48,57.17,60.49
41.94,59.21,58.9
35.94,62.29,60.88
53.23,53.54,61.37
60.66,64.64,62.77
68.38,56.49,60.85
38.82,58.23,58.72
74.85,56.62,60.22
38.31,59.03,62.66
39.22,70.05,60.29
40.24,63.72,58.87
44.08,64.98,59.11
50.05,62.93,58.92
44.48,63.53,62.57
35.65,53.26,60.39
36.14,58.95,55.07
38.31,62.92,58.32
45.14,65.26,56.75
41.61,66.5,60.36
44.17,57.77,58.04
37.01,67.35,59.86
35.63,60.43,59.39
59.89,70.07,58.47
31.36,58.47,58.18
54.73,64.91,58.59
56.37,59.03,60.58
57.52,55.09,59.53
39.7,67.95,59.75
51.76,58.91,62.21
49.04,53.54,61.28
37.09,52.21,59.77
43.81,65.57,59.46
39.03,63.97,58.4
47.85,64.01,58.64
51.58,59.5,60.02
41.29,66.5,60.18
41.2,64.46,60.17
51.84,64.11,63.08
54.57,54.72,60.53
57.72,57.16,60.24
44.62,67.2,58.2
47.93,55.52,55.84
52.12,50.96,61.62
35.4,61.63,61.36
47.78,60.49,52.61
56.83,62.11,58.78
30.66,61.67,61.02
42.58,58.84,57.0
69.46,53.93,56.0
24.08,61.67,57.04
41.43,67.89,62.0
59.64,58.05,59.91
45.14,63.75,57.85
70.0,58.96,61.32
58.11,65.31,57.93
54.64,61.55,59.29
41.1,52.59,58.16
32.01,62.1,60.86
43.91,74.48,63.55
40.85,68.25,57.35
42.53,56.55,60.3
56.62,60.07,57.7
41.56,59.92,57.95
47.32,65.4,60.22
48.82,62.32,60.88
42.89,60.56,63.41
43.74,61.5,60.2
41.76,49.22,57.71
56.35,60.65,57.67
62.71,63.88,61.62
36.66,72.65,61.48
45.53,59.59,62.14
63.14,55.95,60.23
45.91,55.49,60.59
36.73,69.43,61.65
47.46,59.32,59.02
56.5,61.59,59.43
41.44,59.12,64.19
38.79,57.83,60.69
49.24,60.49,60.31
36.41,58.03,58.58
46.14,65.42,58.34
47.38,65.02,59.88
52.76,61.54,57.08
36.44,58.91,56.33
50.37,69.17,60.86
56.15,56.14,61.52
63.5,54.55,56.45
65.71,60.02,60.86
46.23,58.44,57.4
41.86,63.97,60.03
24.63,62.52,59.77
51.45,61.14,57.87
41.39,56.66,59.76
54.06,49.94,60.6
46.04,57.91,62.6
47.27,62.95,58.82
46.05,55.19,60.04
43.57,61.34,57.84
34.75,60.53,62.47
54.77,60.22,59.11
57.31,59.76,59.85
36.97,61.76,64.47
38.79,60.95,64.74
41.38,62.83,62.64
55.3,59.66,59.62
61.52,55.7,60.0
30.51,59.94,62.53
41.74,62.06,60.42
40.59,49.56,63.62
52.27,58.93,56.78
37.94,61.56,56.45
41.85,52.44,59.37
45.17,55.31,60.46
50.18,58.78,60.87
41.35,69.26,58.12
51.14,66.68,62.06
39.97,58.28,64.42
50.94,65.13,61.06
50.25,62.64,61.23
60.24,72.69,59.15
57.46,59.37,60.02
35.19,56.6,60.56
47.18,55.44,61.29
25.57,56.33,63.37
24.43,62.47,61.05
33.27,48.59,61.69
32.43,61.7,62.63
39.72,56.6,59.65
36.31,67.07,58.11
41.38,56.2,58.42
37.02,62.18,62.03
51.41,62.56,62.17
52.07,54.39,59.77
56.33,53.97,60.32
54.32,56.13,60.57
46.21,65.65,61.94
48.74,58.47,62.78
31.87,61.32,59.29
36.36,66.2,61.13
38.22,61.71,59.5
36.03,60.82,59.61
31.61,56.69,61.94
30.59,63.3,54.76
40.08,68.33,64.16
54.83,63.07,58.63
44.83,62.65,60.27
43.4,60.74,64.82
33.76,61.86,59.9
31.61,58.85,60.66
50.86,68.87,57.09
42.31,66.26,60.53
30.19,62.96,61.14
45.59,66.46,54.79
49.72,59.81,57.42
45.61,61.21,57.96
35.15,53.45,57.61
54.46,64.05,58.94
45.33,57.96,59.73
59.03,59.79,59.75
40.89,58.5,56.39
50.24,61.79,57.86
64.49,49.54,64.19
35.06,61.06,63.1
47.01,60.15,61.22
36.76,63.74,59.34
62.36,59.49,58.69
46.14,69.97,60.11
70.25,61.48,57.87
40.01,60.86,59.17
40.69,56.99,60.28
66.38,61.9,59.22
60.25,52.91,60.41
42.79,66.88,60.15
48.8,60.92,56.87
